mode,question_number,question_id,group_id,required_lane,expected_rendered_section,legacy_hit,lane_aware_hit,failure_class,primary_reason,retrieved_text_match_count,candidate_match_count,admitted_match_count,rendered_match_count,accepted_match_count,rejected_match_count,top_rejected_reason,first_candidate_rank,first_admitted_rank,rendered_section_seen,source_kind_seen,subject_class_seen,notes
prior_only,1,q01_who_are_the_npcs_the_players_encountered,pippa_character_continuity,,,False,False,retrieval_miss,no_group_match_in_retrieved_context,0,0,0,0,0,0,,,,,,,
prior_only,1,q01_who_are_the_npcs_the_players_encountered,bubbles_character_continuity,,,False,False,retrieval_miss,no_group_match_in_retrieved_context,0,0,0,0,0,0,,,,,,,
prior_only,1,q01_who_are_the_npcs_the_players_encountered,grishna_character_continuity,,,False,False,retrieval_miss,no_group_match_in_retrieved_context,0,0,0,0,0,0,,,,,,,
prior_only,1,q01_who_are_the_npcs_the_players_encountered,stone_bridge_location_support_context,,,False,False,retrieval_miss,no_group_match_in_retrieved_context,0,0,0,0,0,0,,,,,,,
prior_only,3,q03_how_far_away_is_mirathorn_at_this_point,mirathorn_distance_estimate_from_play,,,False,False,retrieval_miss,no_group_match_in_retrieved_context,0,0,0,0,0,0,,,,,,,
prior_only,3,q03_how_far_away_is_mirathorn_at_this_point,stone_bridge_location_context,,,False,False,retrieval_miss,no_group_match_in_retrieved_context,0,0,0,0,0,0,,,,,,,
prior_only,5,q05_there_is_a_gigantic_tree_growing_in_hemp,hempholm_location_context,,,False,False,retrieval_miss,no_group_match_in_retrieved_context,0,0,0,0,0,0,,,,,,,
prior_plus_support_content_only,1,q01_who_are_the_npcs_the_players_encountered,pippa_character_continuity,,,False,False,retrieval_miss,no_group_match_in_retrieved_context,0,0,0,0,0,0,,,,,,,
prior_plus_support_content_only,1,q01_who_are_the_npcs_the_players_encountered,bubbles_character_continuity,,,False,False,retrieval_miss,no_group_match_in_retrieved_context,0,0,0,0,0,0,,,,,,,
prior_plus_support_content_only,1,q01_who_are_the_npcs_the_players_encountered,grishna_character_continuity,,,False,False,retrieval_miss,no_group_match_in_retrieved_context,0,0,0,0,0,0,,,,,,,
prior_plus_support_content_only,1,q01_who_are_the_npcs_the_players_encountered,stone_bridge_location_support_context,,,False,False,retrieval_miss,no_group_match_in_retrieved_context,0,0,0,0,0,0,,,,,,,
prior_plus_support_content_only,3,q03_how_far_away_is_mirathorn_at_this_point,mirathorn_distance_estimate_from_play,,,False,False,retrieval_miss,no_group_match_in_retrieved_context,0,0,0,0,0,0,,,,,,,
prior_plus_support_content_only,3,q03_how_far_away_is_mirathorn_at_this_point,stone_bridge_location_context,,,False,False,retrieval_miss,no_group_match_in_retrieved_context,0,0,0,0,0,0,,,,,,,
prior_plus_support_content_only,5,q05_there_is_a_gigantic_tree_growing_in_hemp,hempholm_location_context,,,False,False,retrieval_miss,no_group_match_in_retrieved_context,0,0,0,0,0,0,,,,,,,
prior_plus_support_content_only,5,q05_there_is_a_gigantic_tree_growing_in_hemp,hempholm_tree_support_context,,,False,False,retrieval_miss,no_group_match_in_retrieved_context,0,0,0,0,0,0,,,,,,,
prior_plus_support_content_plus_lexical_hints,1,q01_who_are_the_npcs_the_players_encountered,pippa_character_continuity,,,False,False,retrieval_miss,no_group_match_in_retrieved_context,0,0,0,0,0,0,,,,,,,
prior_plus_support_content_plus_lexical_hints,1,q01_who_are_the_npcs_the_players_encountered,bubbles_character_continuity,,,False,False,retrieval_miss,no_group_match_in_retrieved_context,0,0,0,0,0,0,,,,,,,
prior_plus_support_content_plus_lexical_hints,1,q01_who_are_the_npcs_the_players_encountered,grishna_character_continuity,,,False,False,retrieval_miss,no_group_match_in_retrieved_context,0,0,0,0,0,0,,,,,,,
prior_plus_support_content_plus_lexical_hints,1,q01_who_are_the_npcs_the_players_encountered,stone_bridge_location_support_context,,,False,False,retrieval_miss,no_group_match_in_retrieved_context,0,0,0,0,0,0,,,,,,,
prior_plus_support_content_plus_lexical_hints,3,q03_how_far_away_is_mirathorn_at_this_point,mirathorn_distance_estimate_from_play,,,False,False,retrieval_miss,no_group_match_in_retrieved_context,0,0,0,0,0,0,,,,,,,
prior_plus_support_content_plus_lexical_hints,3,q03_how_far_away_is_mirathorn_at_this_point,stone_bridge_location_context,,,False,False,retrieval_miss,no_group_match_in_retrieved_context,0,0,0,0,0,0,,,,,,,
prior_plus_support_content_plus_lexical_hints,5,q05_there_is_a_gigantic_tree_growing_in_hemp,hempholm_location_context,,,False,False,retrieval_miss,no_group_match_in_retrieved_context,0,0,0,0,0,0,,,,,,,
prior_plus_support_content_plus_lexical_hints,5,q05_there_is_a_gigantic_tree_growing_in_hemp,hempholm_tree_support_context,,,False,False,retrieval_miss,no_group_match_in_retrieved_context,0,0,0,0,0,0,,,,,,,
