question_id,group_id,mode,expected_path,lexical_file_probe_hit,retrieval_probe_hit,step2c_known_gap_hit,step2c_retrieved_hit,step2c_candidate_hit,classification_status
q01_who_are_the_npcs_the_players_encountered,pippa_character_continuity,prior_only,corpus/eldyrwild-markdown/Longmont Campaign/Campaign 1/NPCs/pippa/README.md,True,True,False,True,True,ok_or_later_stage
q01_who_are_the_npcs_the_players_encountered,pippa_character_continuity,prior_only,corpus/eldyrwild-markdown/Longmont Campaign/Campaign 1/NPCs/pippa/pippa_character_dossier.md,True,True,False,True,True,ok_or_later_stage
q01_who_are_the_npcs_the_players_encountered,bubbles_character_continuity,prior_only,corpus/eldyrwild-markdown/Longmont Campaign/Campaign 1/NPCs/bubbles_the_float_goat/README.md,True,True,False,True,True,ok_or_later_stage
q01_who_are_the_npcs_the_players_encountered,bubbles_character_continuity,prior_only,corpus/eldyrwild-markdown/Longmont Campaign/Campaign 1/NPCs/bubbles_the_float_goat/bubbles_the_float_goat_character_dossier.md,True,True,False,True,True,ok_or_later_stage
q01_who_are_the_npcs_the_players_encountered,grishna_character_continuity,prior_only,corpus/eldyrwild-markdown/Longmont Campaign/Campaign 1/NPCs/grishna/README.md,True,True,False,False,False,source_exists_but_step2c_miss
q01_who_are_the_npcs_the_players_encountered,stone_bridge_location_support_context,prior_only,corpus/eldyrwild-markdown/Longmont Campaign/Campaign 1/Locations/stone_bridge/README.md,True,True,False,True,True,ok_or_later_stage
q03_how_far_away_is_mirathorn_at_this_point,mirathorn_distance_estimate_from_play,prior_only,corpus/eldyrwild-markdown/Longmont Campaign/Campaign 1/Session Recaps/Session 3 - The Stone Bridge Flood.md,True,True,False,True,True,ok_or_later_stage
q03_how_far_away_is_mirathorn_at_this_point,mirathorn_exact_route_gap,prior_only,known_gap:mirathorn_exact_route_gap,n/a,n/a,False,False,False,known_gap_missing_from_packet
q03_how_far_away_is_mirathorn_at_this_point,stone_bridge_location_context,prior_only,corpus/eldyrwild-markdown/Longmont Campaign/Campaign 1/Locations/stone_bridge/README.md,True,True,False,False,True,source_exists_but_step2c_miss
q05_there_is_a_gigantic_tree_growing_in_hemp,hempholm_location_context,prior_only,corpus/eldyrwild-markdown/Longmont Campaign/Campaign 1/Locations/hempholm/README.md,True,True,False,True,True,ok_or_later_stage
q05_there_is_a_gigantic_tree_growing_in_hemp,hempholm_tree_support_context,prior_plus_support_content_only,support:hempholm_tree_visible_threat,True,True,False,False,True,source_exists_but_step2c_miss
q05_there_is_a_gigantic_tree_growing_in_hemp,hempholm_tree_support_context,prior_plus_support_content_plus_lexical_hints,support:hempholm_tree_visible_threat,True,True,False,False,True,source_exists_but_step2c_miss
