question_id,group_id,mode,expected_path_or_unit_id,pr60_surface,literal_query_hit,alias_query_hit,pre_allocation_alias_rank,selected_by_family_allocation,candidate_hit,admitted_hit,rendered_section_hit,merge_reason,admission_reason,presentation_lane,admission_budget_lane,next_failure_surface
q01_who_are_the_npcs_the_players_encountered,pippa_character_continuity,prior_only,corpus/eldyrwild-markdown/Longmont Campaign/Campaign 1/NPCs/pippa/README.md,rendered_section_mismatch,True,True,5,True,True,True,False,,preserved_character_party_behavior_npc_pippa,party_timeline,prior_campaign_memory,rendered_section_mismatch
q01_who_are_the_npcs_the_players_encountered,pippa_character_continuity,prior_only,corpus/eldyrwild-markdown/Longmont Campaign/Campaign 1/NPCs/pippa/pippa_character_dossier.md,rendered_section_mismatch,True,True,5,True,True,True,False,,preserved_character_party_behavior_npc_pippa,party_timeline,prior_campaign_memory,rendered_section_mismatch
q01_who_are_the_npcs_the_players_encountered,bubbles_character_continuity,prior_only,corpus/eldyrwild-markdown/Longmont Campaign/Campaign 1/NPCs/bubbles_the_float_goat/README.md,rendered_section_mismatch,True,True,5,True,True,True,False,,lane_target_prior_campaign_memory,party_timeline,prior_campaign_memory,rendered_section_mismatch
q01_who_are_the_npcs_the_players_encountered,bubbles_character_continuity,prior_only,corpus/eldyrwild-markdown/Longmont Campaign/Campaign 1/NPCs/bubbles_the_float_goat/bubbles_the_float_goat_character_dossier.md,rendered_section_mismatch,True,True,5,True,True,True,False,,lane_target_prior_campaign_memory,party_timeline,prior_campaign_memory,rendered_section_mismatch
q01_who_are_the_npcs_the_players_encountered,grishna_character_continuity,prior_only,corpus/eldyrwild-markdown/Longmont Campaign/Campaign 1/NPCs/grishna/README.md,candidate_present_admission_deferred,True,True,1,True,True,True,False,required_npc_family_coverage,preserved_character_party_behavior_npc_grishna,party_timeline,prior_campaign_memory,rendered_section_mismatch
q01_who_are_the_npcs_the_players_encountered,stone_bridge_location_support_context,prior_only,corpus/eldyrwild-markdown/Longmont Campaign/Campaign 1/Locations/stone_bridge/README.md,ok_or_later_stage,True,True,,False,True,True,True,,preserved_location_worldbuilding,location_context,prior_campaign_memory,ok_or_later_stage
q03_how_far_away_is_mirathorn_at_this_point,mirathorn_distance_estimate_from_play,prior_only,corpus/eldyrwild-markdown/Longmont Campaign/Campaign 1/Session Recaps/Session 3 - The Stone Bridge Flood.md,ok_or_later_stage,True,True,,False,True,True,True,,lane_target_prior_campaign_memory,location_context,prior_campaign_memory,ok_or_later_stage
q03_how_far_away_is_mirathorn_at_this_point,mirathorn_exact_route_gap,prior_only,known_gap:mirathorn_exact_route_gap,known_gap_missing_from_packet,True,True,,False,False,False,False,,,,,known_gap_missing_from_packet
q03_how_far_away_is_mirathorn_at_this_point,stone_bridge_location_context,prior_only,corpus/eldyrwild-markdown/Longmont Campaign/Campaign 1/Locations/stone_bridge/README.md,ok_or_later_stage,True,True,,False,True,True,True,,lane_target_prior_campaign_memory,location_context,prior_campaign_memory,ok_or_later_stage
q05_there_is_a_gigantic_tree_growing_in_hemp,hempholm_location_context,prior_only,corpus/eldyrwild-markdown/Longmont Campaign/Campaign 1/Locations/hempholm/README.md,ok_or_later_stage,True,False,,False,False,False,False,,,,,ok_or_later_stage
q05_there_is_a_gigantic_tree_growing_in_hemp,hempholm_tree_support_context,prior_plus_support_content_only,support:hempholm_tree_visible_threat,ok_or_later_stage,True,True,,False,True,True,True,,lane_target_support_knowledge,support_knowledge,support_knowledge,ok_or_later_stage
q05_there_is_a_gigantic_tree_growing_in_hemp,hempholm_tree_support_context,prior_plus_support_content_plus_lexical_hints,support:hempholm_tree_visible_threat,ok_or_later_stage,True,True,,False,True,True,True,,lane_target_support_knowledge,support_knowledge,support_knowledge,ok_or_later_stage
